date,max_temp,min_temp,avg_temp,max_wind_speed,avg_wind_speed,avg_pressure,avg_rel_humidity
2021/6/20,28.2,19.1,23.2,4.6,2.1,992.7,66
2021/6/21,31.3,19,24.5,4.7,2.1,995,60
2021/6/22,27.6,22,24.1,6.4,1.7,998.3,70
2021/6/23,31,21.1,24.8,4.7,2.4,1000.3,63
2021/6/24,30.3,20.7,24.7,6,2.5,1002,65
2021/6/25,30.9,22.6,25.5,4.4,2,1002.5,66
2021/6/26,26.8,22.1,24.1,3.6,1.4,1003.2,75
2021/6/27,26,22,23.7,4.5,1.8,999.1,75
2021/6/28,29.4,21.3,24.9,5.2,1.9,994.9,67
2021/6/29,30.2,20.8,24.6,4.9,2.5,994.6,76
2021/6/30,31.4,21.8,25.1,5.4,2.2,999.5,76
2021/7/1,25.5,21.6,23.1,5.6,3,998.9,87
2021/7/2,27,22.8,24.8,4.1,2.1,998.2,91
2021/7/3,31,24.3,27.1,4.4,1.7,1000,81
2021/7/4,30.9,24.7,27.5,4.3,1.7,1002.1,80
2021/7/5,31.7,26.3,28.3,5.3,2.3,1002,75
2021/7/6,32.5,26,28.4,3.6,2.1,1001.6,72
2021/7/7,27.8,23.4,25.4,5.2,1.8,1000.6,89
2021/7/8,28.3,23.6,25.5,4.6,1.6,998.2,90
2021/7/9,29.9,24.9,26.7,4.9,1.8,998.3,85
2021/7/10,31.2,25.5,27.8,3.8,2.2,1001,76
2021/7/11,32.3,25.6,28.3,4.6,2.5,1002.8,65
2021/7/12,32.3,24,26.9,4.7,2,1002.8,71
2021/7/13,31.9,23.5,27.3,3.5,1.9,1003.7,69
2021/7/14,33,21.9,26.2,8.3,1.4,1005.2,79
2021/7/15,31.3,20.9,25.9,5.1,1.8,1007.8,78
2021/7/16,31,22.6,26.7,5.7,2.8,1007.8,74
2021/7/17,33.4,25.4,28.6,6.2,3.4,1005.9,63
2021/7/18,33.5,25.1,28.1,6.7,3.1,1004.9,73
2021/7/19,35.1,25.2,29,5.6,2.3,1005.6,68
2021/7/20,35,26.1,29,4.3,1.8,1005.1,71
2021/7/21,35.3,25.1,29.5,5.7,2.6,1003.8,61
2021/7/22,35.2,24.8,29.2,4.3,2.4,1002.4,64
2021/7/23,35.1,25.5,29.1,5.3,2.3,1001,66
2021/7/24,35.2,26.3,29.1,5.4,2.2,1000.6,68
2021/7/25,34,26.4,29.2,4.7,2.2,999.5,66
2021/7/26,34.8,26.4,29.8,4.6,2.2,995.7,61
2021/7/27,34.4,26.9,30,5.8,2.8,991.2,59
2021/7/28,33.5,26.2,29.6,4,2.2,992.2,59
2021/7/29,34.7,27.1,29.6,4.4,2.2,992.7,66
